code,metric,axis,rate,dec_p_sub,dec_p_ins,dec_p_del,dec_p_erase,decision_depth,max_drift,trials,ref_bits,edit_distance,edit_rate,lock_bits,mean_lock
K3_R1_2,edit,insert,0.18,0.01,0.01,0.01,0.01,24,8,30,119280,38254,0.32070758,,
K3_R1_2,edit,insert,0.2,0.01,0.01,0.01,0.01,24,8,30,119280,38457,0.32240946,,
K3_R1_2,edit,insert,0.2167,0.01,0.01,0.01,0.01,24,8,30,119280,38688,0.32434608,,
K3_R1_2,edit,insert,0.2333,0.01,0.01,0.01,0.01,24,8,30,119280,39306,0.32952716,,
K3_R1_2,edit,insert,0.25,0.01,0.01,0.01,0.01,24,8,30,119280,39181,0.32847921,,
K3_R1_2,edit,delete,0,0.01,0.01,0.01,0.01,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.0033,0.01,0.01,0.01,0.01,24,8,30,119280,118,0.00098926895,,
K3_R1_2,edit,delete,0.0067,0.01,0.01,0.01,0.01,24,8,30,119280,485,0.004066063,,
K3_R1_2,edit,delete,0.01,0.01,0.01,0.01,0.01,24,8,30,119280,1119,0.0093812877,,
K3_R1_2,edit,delete,0.0133,0.01,0.01,0.01,0.01,24,8,30,119280,1292,0.010831657,,
K3_R1_2,edit,delete,0.0167,0.01,0.01,0.01,0.01,24,8,30,119280,2207,0.018502683,,
K3_R1_2,edit,delete,0.02,0.01,0.01,0.01,0.01,24,8,30,119280,2973,0.024924547,,
K3_R1_2,edit,delete,0.0233,0.01,0.01,0.01,0.01,24,8,30,119280,3433,0.028781019,,
K3_R1_2,edit,delete,0.0267,0.01,0.01,0.01,0.01,24,8,30,119280,4885,0.040954058,,
K3_R1_2,edit,delete,0.03,0.01,0.01,0.01,0.01,24,8,30,119280,5727,0.048013078,,
K3_R1_2,edit,delete,0.0367,0.01,0.01,0.01,0.01,24,8,30,119280,7423,0.062231724,,
K3_R1_2,edit,delete,0.0433,0.01,0.01,0.01,0.01,24,8,30,119280,9449,0.079216968,,
K3_R1_2,edit,delete,0.05,0.01,0.01,0.01,0.01,24,8,30,119280,11342,0.09508719,,
K3_R1_2,edit,delete,0.0567,0.01,0.01,0.01,0.01,24,8,30,119280,12556,0.10526492,,
K3_R1_2,edit,delete,0.0633,0.01,0.01,0.01,0.01,24,8,30,119280,14214,0.11916499,,
K3_R1_2,edit,delete,0.07,0.01,0.01,0.01,0.01,24,8,30,119280,15543,0.13030684,,
K3_R1_2,edit,delete,0.0767,0.01,0.01,0.01,0.01,24,8,30,119280,17479,0.14653756,,
K3_R1_2,edit,delete,0.0833,0.01,0.01,0.01,0.01,24,8,30,119280,18542,0.15544936,,
K3_R1_2,edit,delete,0.09,0.01,0.01,0.01,0.01,24,8,30,119280,19982,0.1675218,,
K3_R1_2,edit,delete,0.1,0.01,0.01,0.01,0.01,24,8,30,119280,22045,0.18481724,,
K3_R1_2,edit,delete,0.11,0.01,0.01,0.01,0.01,24,8,30,119280,23493,0.19695674,,
K3_R1_2,edit,delete,0.12,0.01,0.01,0.01,0.01,24,8,30,119280,25268,0.21183769,,
K3_R1_2,edit,delete,0.1333,0.01,0.01,0.01,0.01,24,8,30,119280,26961,0.22603119,,
K3_R1_2,edit,delete,0.1467,0.01,0.01,0.01,0.01,24,8,30,119280,28452,0.23853119,,
K3_R1_2,edit,delete,0.16,0.01,0.01,0.01,0.01,24,8,30,119280,29873,0.25044433,,
K3_R1_2,edit,delete,0.1733,0.01,0.01,0.01,0.01,24,8,30,119280,31225,0.26177901,,
K3_R1_2,edit,delete,0.1867,0.01,0.01,0.01,0.01,24,8,30,119280,32338,0.27110999,,
K3_R1_2,edit,delete,0.2,0.01,0.01,0.01,0.01,24,8,30,119280,33288,0.27907445,,
K3_R1_2,edit,delete,0.2167,0.01,0.01,0.01,0.01,24,8,30,119280,34695,0.29087022,,
K3_R1_2,edit,delete,0.2333,0.01,0.01,0.01,0.01,24,8,30,119280,35768,0.29986586,,
K3_R1_2,edit,delete,0.25,0.01,0.01,0.01,0.01,24,8,30,119280,36885,0.30923038,,
K3_R1_2,edit,erase,0,0.01,0.01,0.01,0.01,24,8,30,119280,0,0,,
K3_R1_2,edit,erase,0.0667,0.01,0.01,0.01,0.01,24,8,30,119280,0,0,,
K3_R1_2,edit,erase,0.1333,0.01,0.01,0.01,0.01,24,8,30,119280,8,6.7069081e-05,,
K3_R1_2,edit,erase,0.2,0.01,0.01,0.01,0.01,24,8,30,119280,66,0.00055331992,,
K3_R1_2,edit,erase,0.25,0.01,0.01,0.01,0.01,24,8,30,119280,200,0.001676727,,
K3_R1_2,edit,erase,0.3,0.01,0.01,0.01,0.01,24,8,30,119280,566,0.0047451375,,
K3_R1_2,edit,erase,0.35,0.01,0.01,0.01,0.01,24,8,30,119280,1544,0.012944333,,
K3_R1_2,edit,erase,0.3833,0.01,0.01,0.01,0.01,24,8,30,119280,2854,0.023926895,,
K3_R1_2,edit,erase,0.4167,0.01,0.01,0.01,0.01,24,8,30,119280,4654,0.039017438,,
K3_R1_2,edit,erase,0.45,0.01,0.01,0.01,0.01,24,8,30,119280,7266,0.060915493,,
K3_R1_2,edit,erase,0.4833,0.01,0.01,0.01,0.01,24,8,30,119280,11044,0.092588867,,
K3_R1_2,edit,erase,0.5167,0.01,0.01,0.01,0.01,24,8,30,119280,14769,0.12381791,,
K3_R1_2,edit,erase,0.55,0.01,0.01,0.01,0.01,24,8,30,119280,19427,0.16286888,,
K3_R1_2,edit,erase,0.5733,0.01,0.01,0.01,0.01,24,8,30,119280,22638,0.18978873,,
K3_R1_2,edit,erase,0.5967,0.01,0.01,0.01,0.01,24,8,30,119280,26088,0.21871227,,
K3_R1_2,edit,erase,0.62,0.01,0.01,0.01,0.01,24,8,30,119280,29355,0.24610161,,
K3_R1_2,edit,erase,0.6467,0.01,0.01,0.01,0.01,24,8,30,119280,33489,0.28075956,,
K3_R1_2,edit,erase,0.6733,0.01,0.01,0.01,0.01,24,8,30,119280,36375,0.30495473,,
K3_R1_2,edit,erase,0.7,0.01,0.01,0.01,0.01,24,8,30,119280,38704,0.32448021,,
K3_R1_2,edit,erase,0.7267,0.01,0.01,0.01,0.01,24,8,30,119280,40083,0.33604125,,
K3_R1_2,edit,erase,0.7533,0.01,0.01,0.01,0.01,24,8,30,119280,42301,0.35463615,,
K3_R1_2,edit,erase,0.78,0.01,0.01,0.01,0.01,24,8,30,119280,43523,0.36488095,,
K3_R1_2,edit,erase,0.8033,0.01,0.01,0.01,0.01,24,8,30,119280,45794,0.38392019,,
K3_R1_2,edit,erase,0.8267,0.01,0.01,0.01,0.01,24,8,30,119280,48714,0.4084004,,
K3_R1_2,edit,erase,0.85,0.01,0.01,0.01,0.01,24,8,30,119280,51830,0.43452381,,
K3_R1_2,edit,erase,0.8733,0.01,0.01,0.01,0.01,24,8,30,119280,54725,0.45879443,,
K3_R1_2,edit,erase,0.8967,0.01,0.01,0.01,0.01,24,8,30,119280,57211,0.47963615,,
K3_R1_2,edit,erase,0.92,0.01,0.01,0.01,0.01,24,8,30,119280,59861,0.50185278,,
K3_R1_2,lock,flip,0,0.01,0.01,0.01,0.01,24,8,30,,,,118470,1
K3_R1_2,lock,flip,0.0033,0.01,0.01,0.01,0.01,24,8,30,,,,118474,0.99707741
K3_R1_2,lock,flip,0.0067,0.01,0.01,0.01,0.01,24,8,30,,,,118490,0.99294653
K3_R1_2,lock,flip,0.01,0.01,0.01,0.01,0.01,24,8,30,,,,118518,0.98782037
K3_R1_2,lock,flip,0.0133,0.01,0.01,0.01,0.01,24,8,30,,,,118562,0.98261271
K3_R1_2,lock,flip,0.0167,0.01,0.01,0.01,0.01,24,8,30,,,,118620,0.97463401
K3_R1_2,lock,flip,0.02,0.01,0.01,0.01,0.01,24,8,30,,,,118709,0.96613756
K3_R1_2,lock,flip,0.025,0.01,0.01,0.01,0.01,24,8,30,,,,118804,0.95503365
K3_R1_2,lock,flip,0.03,0.01,0.01,0.01,0.01,24,8,30,,,,118944,0.94032785
K3_R1_2,lock,flip,0.035,0.01,0.01,0.01,0.01,24,8,30,,,,119097,0.92377241
K3_R1_2,lock,flip,0.04,0.01,0.01,0.01,0.01,24,8,30,,,,119266,0.91143375
K3_R1_2,lock,flip,0.045,0.01,0.01,0.01,0.01,24,8,30,,,,119410,0.89609933
K3_R1_2,lock,flip,0.05,0.01,0.01,0.01,0.01,24,8,30,,,,119625,0.88208405
K3_R1_2,lock,flip,0.0567,0.01,0.01,0.01,0.01,24,8,30,,,,119900,0.85878586
K3_R1_2,lock,flip,0.0633,0.01,0.01,0.01,0.01,24,8,30,,,,120156,0.84017743
K3_R1_2,lock,flip,0.07,0.01,0.01,0.01,0.01,24,8,30,,,,120436,0.82022291
K3_R1_2,lock,flip,0.0767,0.01,0.01,0.01,0.01,24,8,30,,,,120641,0.80184938
K3_R1_2,lock,flip,0.0833,0.01,0.01,0.01,0.01,24,8,30,,,,120890,0.78536965
K3_R1_2,lock,flip,0.09,0.01,0.01,0.01,0.01,24,8,30,,,,121202,0.76848594
K3_R1_2,lock,flip,0.1,0.01,0.01,0.01,0.01,24,8,30,,,,121489,0.7474559
K3_R1_2,lock,flip,0.11,0.01,0.01,0.01,0.01,24,8,30,,,,121787,0.72596801
K3_R1_2,lock,flip,0.12,0.01,0.01,0.01,0.01,24,8,30,,,,122030,0.70966819
K3_R1_2,lock,flip,0.1333,0.01,0.01,0.01,0.01,24,8,30,,,,122371,0.68886777
K3_R1_2,lock,flip,0.1467,0.01,0.01,0.01,0.01,24,8,30,,,,122669,0.67289265
K3_R1_2,lock,flip,0.16,0.01,0.01,0.01,0.01,24,8,30,,,,122897,0.65905621
K3_R1_2,lock,flip,0.1733,0.01,0.01,0.01,0.01,24,8,30,,,,123017,0.64916591
K3_R1_2,lock,flip,0.1867,0.01,0.01,0.01,0.01,24,8,30,,,,123121,0.64253598
K3_R1_2,lock,flip,0.2,0.01,0.01,0.01,0.01,24,8,30,,,,123118,0.63691596
K3_R1_2,lock,flip,0.2167,0.01,0.01,0.01,0.01,24,8,30,,,,123264,0.62765062
K3_R1_2,lock,flip,0.2333,0.01,0.01,0.01,0.01,24,8,30,,,,123316,0.62508389
K3_R1_2,lock,flip,0.25,0.01,0.01,0.01,0.01,24,8,30,,,,123312,0.61925986
K3_R1_2,lock,flip,0.2833,0.01,0.01,0.01,0.01,24,8,30,,,,123401,0.61548647
K3_R1_2,lock,flip,0.3167,0.01,0.01,0.01,0.01,24,8,30,,,,123445,0.61323058
K3_R1_2,lock,flip,0.35,0.01,0.01,0.01,0.01,24,8,30,,,,123502,0.61293611
K3_R1_2,lock,flip,0.4167,0.01,0.01,0.01,0.01,24,8,30,,,,123349,0.61131168
K3_R1_2,lock,flip,0.4833,0.01,0.01,0.01,0.01,24,8,30,,,,123426,0.61250825
K3_R1_2,lock,flip,0.55,0.01,0.01,0.01,0.01,24,8,30,,,,123427,0.6130751
K3_R1_2,lock,flip,0.6333,0.01,0.01,0.01,0.01,24,8,30,,,,123407,0.61185108
K3_R1_2,lock,flip,0.7167,0.01,0.01,0.01,0.01,24,8,30,,,,123350,0.6113741
K3_R1_2,lock,flip,0.8,0.01,0.01,0.01,0.01,24,8,30,,,,123368,0.60568794
K3_R1_2,lock,flip,0.8667,0.01,0.01,0.01,0.01,24,8,30,,,,123395,0.59758293
K3_R1_2,lock,flip,0.9333,0.01,0.01,0.01,0.01,24,8,30,,,,123261,0.58022791
K3_R1_2,lock,flip,1,0.01,0.01,0.01,0.01,24,8,30,,,,123189,0.55051223
K3_R1_2,lock,insert,0,0.01,0.01,0.01,0.01,24,8,30,,,,118470,1
K3_R1_2,lock,insert,0.0033,0.01,0.01,0.01,0.01,24,8,30,,,,118861,0.99730675
K3_R1_2,lock,insert,0.0067,0.01,0.01,0.01,0.01,24,8,30,,,,119327,0.99359765
K3_R1_2,lock,insert,0.01,0.01,0.01,0.01,0.01,24,8,30,,,,119791,0.98936067
K3_R1_2,lock,insert,0.0133,0.01,0.01,0.01,0.01,24,8,30,,,,120299,0.98344028
K3_R1_2,lock,insert,0.0167,0.01,0.01,0.01,0.01,24,8,30,,,,120646,0.97766781
K3_R1_2,lock,insert,0.02,0.01,0.01,0.01,0.01,24,8,30,,,,121173,0.97148878
K3_R1_2,lock,insert,0.025,0.01,0.01,0.01,0.01,24,8,30,,,,121922,0.95977797
K3_R1_2,lock,insert,0.03,0.01,0.01,0.01,0.01,24,8,30,,,,122534,0.95020881
K3_R1_2,lock,insert,0.035,0.01,0.01,0.01,0.01,24,8,30,,,,123302,0.93751284
K3_R1_2,lock,insert,0.04,0.01,0.01,0.01,0.01,24,8,30,,,,124022,0.92709106
K3_R1_2,lock,insert,0.045,0.01,0.01,0.01,0.01,24,8,30,,,,124760,0.91289521
K3_R1_2,lock,insert,0.05,0.01,0.01,0.01,0.01,24,8,30,,,,125457,0.90476328
K3_R1_2,lock,insert,0.0567,0.01,0.01,0.01,0.01,24,8,30,,,,126512,0.88514732
K3_R1_2,lock,insert,0.0633,0.01,0.01,0.01,0.01,24,8,30,,,,126839,0.87011177
K3_R1_2,lock,insert,0.07,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.85487856
K3_R1_2,lock,insert,0.0767,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.84042735
K3_R1_2,lock,insert,0.0833,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.82791072
K3_R1_2,lock,insert,0.09,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.81526873
K3_R1_2,lock,insert,0.1,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.79703131
K3_R1_2,lock,insert,0.11,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.77922845
K3_R1_2,lock,insert,0.12,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.76461966
K3_R1_2,lock,insert,0.1333,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.74749194
K3_R1_2,lock,insert,0.1467,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.73077768
K3_R1_2,lock,insert,0.16,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.71620899
K3_R1_2,lock,insert,0.1733,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.70303671
K3_R1_2,lock,insert,0.1867,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.69263893
K3_R1_2,lock,insert,0.2,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.68072396
K3_R1_2,lock,insert,0.22,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.67141463
K3_R1_2,lock,insert,0.24,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.66072186
K3_R1_2,lock,insert,0.26,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.65370758
K3_R1_2,lock,insert,0.29,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.64434264
K3_R1_2,lock,insert,0.32,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.63688361
K3_R1_2,lock,insert,0.35,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.62831032
K3_R1_2,lock,insert,0.4167,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.61938315
K3_R1_2,lock,insert,0.4833,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.61755185
K3_R1_2,lock,insert,0.55,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.61392153
K3_R1_2,lock,insert,0.6333,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.61166588
K3_R1_2,lock,insert,0.7167,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.61225722
K3_R1_2,lock,insert,0.8,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.61332603
K3_R1_2,lock,insert,0.8667,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.60992262
K3_R1_2,lock,insert,0.9333,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.61154756
K3_R1_2,lock,insert,1,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.61142619
K3_R1_2,lock,delete,0,0.01,0.01,0.01,0.01,24,8,30,,,,118470,1
K3_R1_2,lock,delete,0.0033,0.01,0.01,0.01,0.01,24,8,30,,,,118426,0.99735853
K3_R1_2,lock,delete,0.0067,0.01,0.01,0.01,0.01,24,8,30,,,,118413,0.99329849
K3_R1_2,lock,delete,0.01,0.01,0.01,0.01,0.01,24,8,30,,,,118365,0.98896041
K3_R1_2,lock,delete,0.0133,0.01,0.01,0.01,0.01,24,8,30,,,,118308,0.9844022
K3_R1_2,lock,delete,0.0167,0.01,0.01,0.01,0.01,24,8,30,,,,118235,0.97818903
K3_R1_2,lock,delete,0.02,0.01,0.01,0.01,0.01,24,8,30,,,,118138,0.97112613
K3_R1_2,lock,delete,0.025,0.01,0.01,0.01,0.01,24,8,30,,,,118035,0.96255335
K3_R1_2,lock,delete,0.03,0.01,0.01,0.01,0.01,24,8,30,,,,117782,0.95098802
K3_R1_2,lock,delete,0.035,0.01,0.01,0.01,0.01,24,8,30,,,,117537,0.94067812
K3_R1_2,lock,delete,0.04,0.01,0.01,0.01,0.01,24,8,30,,,,117175,0.92675599
K3_R1_2,lock,delete,0.045,0.01,0.01,0.01,0.01,24,8,30,,,,116941,0.91827509
K3_R1_2,lock,delete,0.05,0.01,0.01,0.01,0.01,24,8,30,,,,116578,0.9040743
K3_R1_2,lock,delete,0.0567,0.01,0.01,0.01,0.01,24,8,30,,,,116032,0.89117307
K3_R1_2,lock,delete,0.0633,0.01,0.01,0.01,0.01,24,8,30,,,,115487,0.87424482
K3_R1_2,lock,delete,0.07,0.01,0.01,0.01,0.01,24,8,30,,,,114761,0.86203428
K3_R1_2,lock,delete,0.0767,0.01,0.01,0.01,0.01,24,8,30,,,,114136,0.84647142
K3_R1_2,lock,delete,0.0833,0.01,0.01,0.01,0.01,24,8,30,,,,113612,0.83799404
K3_R1_2,lock,delete,0.09,0.01,0.01,0.01,0.01,24,8,30,,,,112626,0.8244441
K3_R1_2,lock,delete,0.1,0.01,0.01,0.01,0.01,24,8,30,,,,111829,0.80655479
K3_R1_2,lock,delete,0.11,0.01,0.01,0.01,0.01,24,8,30,,,,110449,0.79197224
K3_R1_2,lock,delete,0.12,0.01,0.01,0.01,0.01,24,8,30,,,,109246,0.77359084
K3_R1_2,lock,delete,0.1333,0.01,0.01,0.01,0.01,24,8,30,,,,107405,0.75446395
K3_R1_2,lock,delete,0.1467,0.01,0.01,0.01,0.01,24,8,30,,,,105882,0.74107046
K3_R1_2,lock,delete,0.16,0.01,0.01,0.01,0.01,24,8,30,,,,104113,0.72599768
K3_R1_2,lock,delete,0.1733,0.01,0.01,0.01,0.01,24,8,30,,,,102502,0.71691252
K3_R1_2,lock,delete,0.1867,0.01,0.01,0.01,0.01,24,8,30,,,,100692,0.70280898
K3_R1_2,lock,delete,0.2,0.01,0.01,0.01,0.01,24,8,30,,,,99070,0.69122893
K3_R1_2,lock,delete,0.2333,0.01,0.01,0.01,0.01,24,8,30,,,,94495,0.67221247
K3_R1_2,lock,delete,0.2667,0.01,0.01,0.01,0.01,24,8,30,,,,90231,0.65555118
K3_R1_2,lock,delete,0.3,0.01,0.01,0.01,0.01,24,8,30,,,,86039,0.64645984
K3_R1_2,lock,delete,0.3667,0.01,0.01,0.01,0.01,24,8,30,,,,77451,0.631605
K3_R1_2,lock,delete,0.4333,0.01,0.01,0.01,0.01,24,8,30,,,,69327,0.62289323
K3_R1_2,lock,delete,0.5,0.01,0.01,0.01,0.01,24,8,30,,,,60921,0.61803021
K3_R1_2,lock,delete,0.6,0.01,0.01,0.01,0.01,24,8,30,,,,48503,0.61469347
K3_R1_2,lock,delete,0.7,0.01,0.01,0.01,0.01,24,8,30,,,,35928,0.61348588
K3_R1_2,lock,delete,0.8,0.01,0.01,0.01,0.01,24,8,30,,,,23314,0.61181761
K3_R1_2,lock,delete,0.8333,0.01,0.01,0.01,0.01,24,8,30,,,,19107,0.61235121
K3_R1_2,lock,delete,0.8667,0.01,0.01,0.01,0.01,24,8,30,,,,15217,0.61115787
K3_R1_2,lock,delete,0.9,0.01,0.01,0.01,0.01,24,8,30,,,,10884,0.60788866
K3_R1_2,lock,delete,0.9167,0.01,0.01,0.01,0.01,24,8,30,,,,9046,0.6124527
K3_R1_2,lock,delete,0.9333,0.01,0.01,0.01,0.01,24,8,30,,,,6895,0.60796473
K3_R1_2,lock,delete,0.95,0.01,0.01,0.01,0.01,24,8,30,,,,4566,0.61507032
K3_R1_2,lock,delete,0.9667,0.01,0.01,0.01,0.01,24,8,30,,,,2589,0.61607861
K3_R1_2,lock,delete,1,0.01,0.01,0.01,0.01,24,8,30,,,,0,0
K3_R1_2,lock,delete,0.9833,0.01,0.01,0.01,0.01,24,8,30,,,,516,0.59503557
K3_R1_2,lock,erase,0,0.01,0.01,0.01,0.01,24,8,30,,,,118470,1
K3_R1_2,lock,erase,0.0067,0.01,0.01,0.01,0.01,24,8,30,,,,118470,0.99251297
K3_R1_2,lock,erase,0.0133,0.01,0.01,0.01,0.01,24,8,30,,,,118470,0.98113147
K3_R1_2,lock,erase,0.02,0.01,0.01,0.01,0.01,24,8,30,,,,118470,0.96738821
K3_R1_2,lock,erase,0.0267,0.01,0.01,0.01,0.01,24,8,30,,,,118470,0.94739517
K3_R1_2,lock,erase,0.0333,0.01,0.01,0.01,0.01,24,8,30,,,,118470,0.9277228
K3_R1_2,lock,erase,0.04,0.01,0.01,0.01,0.01,24,8,30,,,,118470,0.90485161
