code,metric,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,decision_depth,max_drift,trials,ref_bits,edit_distance,edit_rate,lock_bits,mean_lock
K3_R1_2,edit,insert,0.18,0.01,0.01,0.01,0.01,24,8,30,119280,36826,0.30873575,,
K3_R1_2,edit,insert,0.2,0.01,0.01,0.01,0.01,24,8,30,119280,38196,0.32022133,,
K3_R1_2,edit,insert,0.2167,0.01,0.01,0.01,0.01,24,8,30,119280,39105,0.32784205,,
K3_R1_2,edit,insert,0.2333,0.01,0.01,0.01,0.01,24,8,30,119280,39580,0.33182428,,
K3_R1_2,edit,insert,0.25,0.01,0.01,0.01,0.01,24,8,30,119280,39993,0.33528672,,
K3_R1_2,edit,delete,0,0.01,0.01,0.01,0.01,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.0033,0.01,0.01,0.01,0.01,24,8,30,119280,116,0.00097250168,,
K3_R1_2,edit,delete,0.0067,0.01,0.01,0.01,0.01,24,8,30,119280,290,0.0024312542,,
K3_R1_2,edit,delete,0.01,0.01,0.01,0.01,0.01,24,8,30,119280,619,0.0051894702,,
K3_R1_2,edit,delete,0.0133,0.01,0.01,0.01,0.01,24,8,30,119280,781,0.006547619,,
K3_R1_2,edit,delete,0.0167,0.01,0.01,0.01,0.01,24,8,30,119280,1337,0.01120892,,
K3_R1_2,edit,delete,0.02,0.01,0.01,0.01,0.01,24,8,30,119280,1729,0.014495305,,
K3_R1_2,edit,delete,0.0233,0.01,0.01,0.01,0.01,24,8,30,119280,2044,0.01713615,,
K3_R1_2,edit,delete,0.0267,0.01,0.01,0.01,0.01,24,8,30,119280,2908,0.024379611,,
K3_R1_2,edit,delete,0.03,0.01,0.01,0.01,0.01,24,8,30,119280,3586,0.030063716,,
K3_R1_2,edit,delete,0.0367,0.01,0.01,0.01,0.01,24,8,30,119280,4570,0.038313213,,
K3_R1_2,edit,delete,0.0433,0.01,0.01,0.01,0.01,24,8,30,119280,6139,0.051467136,,
K3_R1_2,edit,delete,0.05,0.01,0.01,0.01,0.01,24,8,30,119280,7491,0.062801811,,
K3_R1_2,edit,delete,0.0567,0.01,0.01,0.01,0.01,24,8,30,119280,8463,0.070950704,,
K3_R1_2,edit,delete,0.0633,0.01,0.01,0.01,0.01,24,8,30,119280,10054,0.084289068,,
K3_R1_2,edit,delete,0.07,0.01,0.01,0.01,0.01,24,8,30,119280,10621,0.089042589,,
K3_R1_2,edit,delete,0.0767,0.01,0.01,0.01,0.01,24,8,30,119280,12604,0.10566734,,
K3_R1_2,edit,delete,0.0833,0.01,0.01,0.01,0.01,24,8,30,119280,13754,0.11530852,,
K3_R1_2,edit,delete,0.09,0.01,0.01,0.01,0.01,24,8,30,119280,15134,0.12687793,,
K3_R1_2,edit,delete,0.1,0.01,0.01,0.01,0.01,24,8,30,119280,17135,0.14365359,,
K3_R1_2,edit,delete,0.11,0.01,0.01,0.01,0.01,24,8,30,119280,18764,0.15731053,,
K3_R1_2,edit,delete,0.12,0.01,0.01,0.01,0.01,24,8,30,119280,20946,0.17560362,,
K3_R1_2,edit,delete,0.1333,0.01,0.01,0.01,0.01,24,8,30,119280,22507,0.18869048,,
K3_R1_2,edit,delete,0.1467,0.01,0.01,0.01,0.01,24,8,30,119280,24823,0.20810698,,
K3_R1_2,edit,delete,0.16,0.01,0.01,0.01,0.01,24,8,30,119280,26857,0.22515929,,
K3_R1_2,edit,delete,0.1733,0.01,0.01,0.01,0.01,24,8,30,119280,28345,0.23763414,,
K3_R1_2,edit,delete,0.1867,0.01,0.01,0.01,0.01,24,8,30,119280,30173,0.25295942,,
K3_R1_2,edit,delete,0.2,0.01,0.01,0.01,0.01,24,8,30,119280,31642,0.26527498,,
K3_R1_2,edit,delete,0.2167,0.01,0.01,0.01,0.01,24,8,30,119280,33586,0.28157277,,
K3_R1_2,edit,delete,0.2333,0.01,0.01,0.01,0.01,24,8,30,119280,35614,0.29857478,,
K3_R1_2,edit,delete,0.25,0.01,0.01,0.01,0.01,24,8,30,119280,36730,0.30793092,,
K3_R1_2,edit,erase,0,0.01,0.01,0.01,0.01,24,8,30,119280,0,0,,
K3_R1_2,edit,erase,0.0667,0.01,0.01,0.01,0.01,24,8,30,119280,143,0.0011988598,,
K3_R1_2,edit,erase,0.1333,0.01,0.01,0.01,0.01,24,8,30,119280,832,0.0069751844,,
K3_R1_2,edit,erase,0.2,0.01,0.01,0.01,0.01,24,8,30,119280,1761,0.014763581,,
K3_R1_2,edit,erase,0.25,0.01,0.01,0.01,0.01,24,8,30,119280,2847,0.023868209,,
K3_R1_2,edit,erase,0.3,0.01,0.01,0.01,0.01,24,8,30,119280,4756,0.039872569,,
K3_R1_2,edit,erase,0.35,0.01,0.01,0.01,0.01,24,8,30,119280,9567,0.080206237,,
K3_R1_2,edit,erase,0.3833,0.01,0.01,0.01,0.01,24,8,30,119280,14885,0.12479041,,
K3_R1_2,edit,erase,0.4167,0.01,0.01,0.01,0.01,24,8,30,119280,21634,0.18137156,,
K3_R1_2,edit,erase,0.45,0.01,0.01,0.01,0.01,24,8,30,119280,31612,0.26502347,,
K3_R1_2,edit,erase,0.4833,0.01,0.01,0.01,0.01,24,8,30,119280,43360,0.36351442,,
K3_R1_2,edit,erase,0.5167,0.01,0.01,0.01,0.01,24,8,30,119280,54354,0.4556841,,
K3_R1_2,edit,erase,0.55,0.01,0.01,0.01,0.01,24,8,30,119280,68598,0.5751006,,
K3_R1_2,edit,erase,0.5733,0.01,0.01,0.01,0.01,24,8,30,119280,78155,0.655223,,
K3_R1_2,edit,erase,0.5967,0.01,0.01,0.01,0.01,24,8,30,119280,86032,0.7212609,,
K3_R1_2,edit,erase,0.62,0.01,0.01,0.01,0.01,24,8,30,119280,93564,0.78440644,,
K3_R1_2,edit,erase,0.6467,0.01,0.01,0.01,0.01,24,8,30,119280,99999,0.83835513,,
K3_R1_2,edit,erase,0.6733,0.01,0.01,0.01,0.01,24,8,30,119280,106086,0.88938632,,
K3_R1_2,edit,erase,0.7,0.01,0.01,0.01,0.01,24,8,30,119280,109663,0.91937458,,
K3_R1_2,edit,erase,0.7267,0.01,0.01,0.01,0.01,24,8,30,119280,113159,0.94868377,,
K3_R1_2,edit,erase,0.7533,0.01,0.01,0.01,0.01,24,8,30,119280,115965,0.97220825,,
K3_R1_2,edit,erase,0.78,0.01,0.01,0.01,0.01,24,8,30,119280,117889,0.98833836,,
K3_R1_2,edit,erase,0.8033,0.01,0.01,0.01,0.01,24,8,30,119280,120272,1.0083166,,
K3_R1_2,edit,erase,0.8267,0.01,0.01,0.01,0.01,24,8,30,119280,123323,1.033895,,
K3_R1_2,edit,erase,0.85,0.01,0.01,0.01,0.01,24,8,30,119280,125981,1.0561787,,
K3_R1_2,edit,erase,0.8733,0.01,0.01,0.01,0.01,24,8,30,119280,126576,1.061167,,
K3_R1_2,edit,erase,0.8967,0.01,0.01,0.01,0.01,24,8,30,119280,126779,1.0628689,,
K3_R1_2,edit,erase,0.92,0.01,0.01,0.01,0.01,24,8,30,119280,126857,1.0635228,,
K3_R1_2,lock,flip,0,0.01,0.01,0.01,0.01,24,8,30,,,,118470,1
K3_R1_2,lock,flip,0.0033,0.01,0.01,0.01,0.01,24,8,30,,,,118474,0.99707741
K3_R1_2,lock,flip,0.0067,0.01,0.01,0.01,0.01,24,8,30,,,,118490,0.99294653
K3_R1_2,lock,flip,0.01,0.01,0.01,0.01,0.01,24,8,30,,,,118518,0.98782037
K3_R1_2,lock,flip,0.0133,0.01,0.01,0.01,0.01,24,8,30,,,,118562,0.98261271
K3_R1_2,lock,flip,0.0167,0.01,0.01,0.01,0.01,24,8,30,,,,118620,0.97463401
K3_R1_2,lock,flip,0.02,0.01,0.01,0.01,0.01,24,8,30,,,,118709,0.96613756
K3_R1_2,lock,flip,0.025,0.01,0.01,0.01,0.01,24,8,30,,,,118804,0.95503365
K3_R1_2,lock,flip,0.03,0.01,0.01,0.01,0.01,24,8,30,,,,118944,0.94032785
K3_R1_2,lock,flip,0.035,0.01,0.01,0.01,0.01,24,8,30,,,,119097,0.92377241
K3_R1_2,lock,flip,0.04,0.01,0.01,0.01,0.01,24,8,30,,,,119266,0.91143375
K3_R1_2,lock,flip,0.045,0.01,0.01,0.01,0.01,24,8,30,,,,119410,0.89609933
K3_R1_2,lock,flip,0.05,0.01,0.01,0.01,0.01,24,8,30,,,,119625,0.88208405
K3_R1_2,lock,flip,0.0567,0.01,0.01,0.01,0.01,24,8,30,,,,119900,0.85878586
K3_R1_2,lock,flip,0.0633,0.01,0.01,0.01,0.01,24,8,30,,,,120156,0.84017743
K3_R1_2,lock,flip,0.07,0.01,0.01,0.01,0.01,24,8,30,,,,120436,0.82022291
K3_R1_2,lock,flip,0.0767,0.01,0.01,0.01,0.01,24,8,30,,,,120641,0.80184938
K3_R1_2,lock,flip,0.0833,0.01,0.01,0.01,0.01,24,8,30,,,,120890,0.78536965
K3_R1_2,lock,flip,0.09,0.01,0.01,0.01,0.01,24,8,30,,,,121202,0.76848594
K3_R1_2,lock,flip,0.1,0.01,0.01,0.01,0.01,24,8,30,,,,121489,0.7474559
K3_R1_2,lock,flip,0.11,0.01,0.01,0.01,0.01,24,8,30,,,,121787,0.72596801
K3_R1_2,lock,flip,0.12,0.01,0.01,0.01,0.01,24,8,30,,,,122030,0.70966819
K3_R1_2,lock,flip,0.1333,0.01,0.01,0.01,0.01,24,8,30,,,,122371,0.68886777
K3_R1_2,lock,flip,0.1467,0.01,0.01,0.01,0.01,24,8,30,,,,122669,0.67289265
K3_R1_2,lock,flip,0.16,0.01,0.01,0.01,0.01,24,8,30,,,,122897,0.65905621
K3_R1_2,lock,flip,0.1733,0.01,0.01,0.01,0.01,24,8,30,,,,123017,0.64916591
K3_R1_2,lock,flip,0.1867,0.01,0.01,0.01,0.01,24,8,30,,,,123121,0.64253598
K3_R1_2,lock,flip,0.2,0.01,0.01,0.01,0.01,24,8,30,,,,123118,0.63691596
K3_R1_2,lock,flip,0.2167,0.01,0.01,0.01,0.01,24,8,30,,,,123264,0.62765062
K3_R1_2,lock,flip,0.2333,0.01,0.01,0.01,0.01,24,8,30,,,,123316,0.62508389
K3_R1_2,lock,flip,0.25,0.01,0.01,0.01,0.01,24,8,30,,,,123312,0.61925986
K3_R1_2,lock,flip,0.2833,0.01,0.01,0.01,0.01,24,8,30,,,,123401,0.61548647
K3_R1_2,lock,flip,0.3167,0.01,0.01,0.01,0.01,24,8,30,,,,123445,0.61323058
K3_R1_2,lock,flip,0.35,0.01,0.01,0.01,0.01,24,8,30,,,,123502,0.61293611
K3_R1_2,lock,flip,0.4167,0.01,0.01,0.01,0.01,24,8,30,,,,123349,0.61131168
K3_R1_2,lock,flip,0.4833,0.01,0.01,0.01,0.01,24,8,30,,,,123426,0.61250825
K3_R1_2,lock,flip,0.55,0.01,0.01,0.01,0.01,24,8,30,,,,123427,0.6130751
K3_R1_2,lock,flip,0.6333,0.01,0.01,0.01,0.01,24,8,30,,,,123407,0.61185108
K3_R1_2,lock,flip,0.7167,0.01,0.01,0.01,0.01,24,8,30,,,,123350,0.6113741
K3_R1_2,lock,flip,0.8,0.01,0.01,0.01,0.01,24,8,30,,,,123368,0.60568794
K3_R1_2,lock,flip,0.8667,0.01,0.01,0.01,0.01,24,8,30,,,,123395,0.59758293
K3_R1_2,lock,flip,0.9333,0.01,0.01,0.01,0.01,24,8,30,,,,123261,0.58022791
K3_R1_2,lock,flip,1,0.01,0.01,0.01,0.01,24,8,30,,,,123189,0.55051223
K3_R1_2,lock,insert,0,0.01,0.01,0.01,0.01,24,8,30,,,,118470,1
K3_R1_2,lock,insert,0.0033,0.01,0.01,0.01,0.01,24,8,30,,,,118861,0.99730675
K3_R1_2,lock,insert,0.0067,0.01,0.01,0.01,0.01,24,8,30,,,,119327,0.99359765
K3_R1_2,lock,insert,0.01,0.01,0.01,0.01,0.01,24,8,30,,,,119791,0.98936067
K3_R1_2,lock,insert,0.0133,0.01,0.01,0.01,0.01,24,8,30,,,,120299,0.98344028
K3_R1_2,lock,insert,0.0167,0.01,0.01,0.01,0.01,24,8,30,,,,120646,0.97766781
K3_R1_2,lock,insert,0.02,0.01,0.01,0.01,0.01,24,8,30,,,,121173,0.97148878
K3_R1_2,lock,insert,0.025,0.01,0.01,0.01,0.01,24,8,30,,,,121922,0.95977797
K3_R1_2,lock,insert,0.03,0.01,0.01,0.01,0.01,24,8,30,,,,122534,0.95020881
K3_R1_2,lock,insert,0.035,0.01,0.01,0.01,0.01,24,8,30,,,,123302,0.93751284
K3_R1_2,lock,insert,0.04,0.01,0.01,0.01,0.01,24,8,30,,,,124022,0.92709106
K3_R1_2,lock,insert,0.045,0.01,0.01,0.01,0.01,24,8,30,,,,124760,0.91289521
K3_R1_2,lock,insert,0.05,0.01,0.01,0.01,0.01,24,8,30,,,,125457,0.90476328
K3_R1_2,lock,insert,0.0567,0.01,0.01,0.01,0.01,24,8,30,,,,126512,0.88514732
K3_R1_2,lock,insert,0.0633,0.01,0.01,0.01,0.01,24,8,30,,,,126839,0.87011177
K3_R1_2,lock,insert,0.07,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.85487856
K3_R1_2,lock,insert,0.0767,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.84042735
K3_R1_2,lock,insert,0.0833,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.82791072
K3_R1_2,lock,insert,0.09,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.81526873
K3_R1_2,lock,insert,0.1,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.79703131
K3_R1_2,lock,insert,0.11,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.77922845
K3_R1_2,lock,insert,0.12,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.76461966
K3_R1_2,lock,insert,0.1333,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.74749194
K3_R1_2,lock,insert,0.1467,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.73077768
K3_R1_2,lock,insert,0.16,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.71620899
K3_R1_2,lock,insert,0.1733,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.70303671
K3_R1_2,lock,insert,0.1867,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.69263893
K3_R1_2,lock,insert,0.2,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.68072396
K3_R1_2,lock,insert,0.22,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.67141463
K3_R1_2,lock,insert,0.24,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.66072186
K3_R1_2,lock,insert,0.26,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.65370758
K3_R1_2,lock,insert,0.29,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.64434264
K3_R1_2,lock,insert,0.32,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.63688361
K3_R1_2,lock,insert,0.35,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.62831032
K3_R1_2,lock,insert,0.4167,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.61938315
K3_R1_2,lock,insert,0.4833,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.61755185
K3_R1_2,lock,insert,0.55,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.61392153
K3_R1_2,lock,insert,0.6333,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.61166588
K3_R1_2,lock,insert,0.7167,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.61225722
K3_R1_2,lock,insert,0.8,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.61332603
K3_R1_2,lock,insert,0.8667,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.60992262
K3_R1_2,lock,insert,0.9333,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.61154756
K3_R1_2,lock,insert,1,0.01,0.01,0.01,0.01,24,8,30,,,,126900,0.61142619
K3_R1_2,lock,delete,0,0.01,0.01,0.01,0.01,24,8,30,,,,118470,1
K3_R1_2,lock,delete,0.0033,0.01,0.01,0.01,0.01,24,8,30,,,,118426,0.99735853
K3_R1_2,lock,delete,0.0067,0.01,0.01,0.01,0.01,24,8,30,,,,118413,0.99329849
K3_R1_2,lock,delete,0.01,0.01,0.01,0.01,0.01,24,8,30,,,,118365,0.98896041
K3_R1_2,lock,delete,0.0133,0.01,0.01,0.01,0.01,24,8,30,,,,118308,0.9844022
K3_R1_2,lock,delete,0.0167,0.01,0.01,0.01,0.01,24,8,30,,,,118235,0.97818903
K3_R1_2,lock,delete,0.02,0.01,0.01,0.01,0.01,24,8,30,,,,118138,0.97112613
K3_R1_2,lock,delete,0.025,0.01,0.01,0.01,0.01,24,8,30,,,,118035,0.96255335
K3_R1_2,lock,delete,0.03,0.01,0.01,0.01,0.01,24,8,30,,,,117782,0.95098802
K3_R1_2,lock,delete,0.035,0.01,0.01,0.01,0.01,24,8,30,,,,117537,0.94067812
K3_R1_2,lock,delete,0.04,0.01,0.01,0.01,0.01,24,8,30,,,,117175,0.92675599
K3_R1_2,lock,delete,0.045,0.01,0.01,0.01,0.01,24,8,30,,,,116941,0.91827509
K3_R1_2,lock,delete,0.05,0.01,0.01,0.01,0.01,24,8,30,,,,116578,0.9040743
K3_R1_2,lock,delete,0.0567,0.01,0.01,0.01,0.01,24,8,30,,,,116032,0.89117307
K3_R1_2,lock,delete,0.0633,0.01,0.01,0.01,0.01,24,8,30,,,,115487,0.87424482
K3_R1_2,lock,delete,0.07,0.01,0.01,0.01,0.01,24,8,30,,,,114761,0.86203428
K3_R1_2,lock,delete,0.0767,0.01,0.01,0.01,0.01,24,8,30,,,,114136,0.84647142
K3_R1_2,lock,delete,0.0833,0.01,0.01,0.01,0.01,24,8,30,,,,113612,0.83799404
K3_R1_2,lock,delete,0.09,0.01,0.01,0.01,0.01,24,8,30,,,,112626,0.8244441
K3_R1_2,lock,delete,0.1,0.01,0.01,0.01,0.01,24,8,30,,,,111829,0.80655479
K3_R1_2,lock,delete,0.11,0.01,0.01,0.01,0.01,24,8,30,,,,110449,0.79197224
K3_R1_2,lock,delete,0.12,0.01,0.01,0.01,0.01,24,8,30,,,,109246,0.77359084
K3_R1_2,lock,delete,0.1333,0.01,0.01,0.01,0.01,24,8,30,,,,107405,0.75446395
K3_R1_2,lock,delete,0.1467,0.01,0.01,0.01,0.01,24,8,30,,,,105882,0.74107046
K3_R1_2,lock,delete,0.16,0.01,0.01,0.01,0.01,24,8,30,,,,104113,0.72599768
K3_R1_2,lock,delete,0.1733,0.01,0.01,0.01,0.01,24,8,30,,,,102502,0.71691252
K3_R1_2,lock,delete,0.1867,0.01,0.01,0.01,0.01,24,8,30,,,,100692,0.70280898
K3_R1_2,lock,delete,0.2,0.01,0.01,0.01,0.01,24,8,30,,,,99070,0.69122893
K3_R1_2,lock,delete,0.2333,0.01,0.01,0.01,0.01,24,8,30,,,,94495,0.67221247
K3_R1_2,lock,delete,0.2667,0.01,0.01,0.01,0.01,24,8,30,,,,90231,0.65555118
K3_R1_2,lock,delete,0.3,0.01,0.01,0.01,0.01,24,8,30,,,,86039,0.64645984
K3_R1_2,lock,delete,0.3667,0.01,0.01,0.01,0.01,24,8,30,,,,77451,0.631605
K3_R1_2,lock,delete,0.4333,0.01,0.01,0.01,0.01,24,8,30,,,,69327,0.62289323
K3_R1_2,lock,delete,0.5,0.01,0.01,0.01,0.01,24,8,30,,,,60921,0.61803021
K3_R1_2,lock,delete,0.6,0.01,0.01,0.01,0.01,24,8,30,,,,48503,0.61469347
K3_R1_2,lock,delete,0.7,0.01,0.01,0.01,0.01,24,8,30,,,,35928,0.61348588
K3_R1_2,lock,delete,0.8,0.01,0.01,0.01,0.01,24,8,30,,,,23314,0.61181761
K3_R1_2,lock,delete,0.8333,0.01,0.01,0.01,0.01,24,8,30,,,,19107,0.61235121
K3_R1_2,lock,delete,0.8667,0.01,0.01,0.01,0.01,24,8,30,,,,15217,0.61115787
K3_R1_2,lock,delete,0.9,0.01,0.01,0.01,0.01,24,8,30,,,,10884,0.60788866
K3_R1_2,lock,delete,0.9167,0.01,0.01,0.01,0.01,24,8,30,,,,9046,0.6124527
K3_R1_2,lock,delete,0.9333,0.01,0.01,0.01,0.01,24,8,30,,,,6895,0.60796473
K3_R1_2,lock,delete,0.95,0.01,0.01,0.01,0.01,24,8,30,,,,4566,0.61507032
K3_R1_2,lock,delete,0.9667,0.01,0.01,0.01,0.01,24,8,30,,,,2589,0.61607861
K3_R1_2,lock,delete,1,0.01,0.01,0.01,0.01,24,8,30,,,,0,0
K3_R1_2,lock,delete,0.9833,0.01,0.01,0.01,0.01,24,8,30,,,,516,0.59503557
K3_R1_2,lock,erase,0,0.01,0.01,0.01,0.01,24,8,30,,,,118470,1
K3_R1_2,lock,erase,0.0067,0.01,0.01,0.01,0.01,24,8,30,,,,118470,0.99251297
K3_R1_2,lock,erase,0.0133,0.01,0.01,0.01,0.01,24,8,30,,,,118470,0.98113147
K3_R1_2,lock,erase,0.02,0.01,0.01,0.01,0.01,24,8,30,,,,118470,0.96738821
K3_R1_2,lock,erase,0.0267,0.01,0.01,0.01,0.01,24,8,30,,,,118470,0.94739517
K3_R1_2,lock,erase,0.0333,0.01,0.01,0.01,0.01,24,8,30,,,,118470,0.9277228
K3_R1_2,lock,erase,0.04,0.01,0.01,0.01,0.01,24,8,30,,,,118470,0.90485161
